month,day,hour,min,sec,pan[rad],tlt[rad],str_1[rad],str_2[rad],str_3[rad],str_4[rad],drv_1[rad],drv_2[rad],drv_3[rad],drv_4[rad]
1,1,9,35,49.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,49.6000,0.0517,1.1399,-0.0008,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,49.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,50.0000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,50.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,50.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,50.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,50.8000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,51.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,51.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,51.4000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,51.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,51.8000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,52.0000,0.0517,1.1399,-0.0008,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,52.2000,0.0517,1.1399,-0.0008,-0.0007,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,52.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,52.6000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,52.8000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,53.0000,0.0517,1.1399,-0.0007,-0.0009,-0.0012,0.0008,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,53.2000,0.0517,1.1399,-0.0007,-0.0007,-0.0012,0.0007,0.0000,0.0000,0.0000,0.0000,
1,1,9,35,53.4000,0.0517,1.1399,-0.0007,-0.0007,-0.0014,0.0008,0.0000,0.0000,0.0000,0.0000,
